Designation,Class,ba/t,h/w,Area,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,J,Cw,d,b,t,w,k
HSS127x127x9.5,,9.33,9.33,4240.0,9.48,149.0,47.300000000000004,183.0,9.48,149.0,47.300000000000004,183.0,15900.0,,127.0,127.0,9.53,9.53,
HSS127x127x7.9,,11.99,11.99,3620.0,8.35,131.0,48.0,159.0,8.35,131.0,48.0,159.0,13800.0,,127.0,127.0,7.94,7.94,
HSS127x127x6.4,,16.0,16.0,2960.0,7.05,111.0,48.800000000000004,132.0,7.05,111.0,48.800000000000004,132.0,11400.0,,127.0,127.0,6.35,6.35,
HSS127x127x4.8,,22.57,22.57,2280.0,5.6,88.1,49.6,103.0,5.6,88.1,49.6,103.0,8900.0,,127.0,127.0,4.78,4.78,
HSS127x127x3.2,,35.94,35.94,1550.0,3.92,61.8,50.300000000000004,71.5,3.92,61.8,50.300000000000004,71.5,6120.0,,127.0,127.0,3.18,3.18,
HSS102x102x13,,4.0,4.0,4100.0,5.1,100.0,35.300000000000004,131.0,5.1,100.0,35.300000000000004,131.0,9070.0,,101.6,101.6,12.7,12.7,
HSS102x102x9.5,,6.66,6.66,3280.0,4.45,87.6,36.9,110.0,4.45,87.6,36.9,110.0,7640.0,,101.6,101.6,9.53,9.53,
HSS102x102x7.9,,8.8,8.8,2810.0,3.99,78.5,37.7,96.7,3.99,78.5,37.7,96.7,6710.0,,101.6,101.6,7.94,7.94,
HSS102x102x6.4,,12.0,12.0,2320.0,3.42,67.3,38.400000000000006,81.4,3.42,67.3,38.400000000000006,81.4,5640.0,,101.6,101.6,6.35,6.35,
HSS102x102x4.8,,17.26,17.26,1790.0,2.75,54.2,39.2,64.3,2.75,54.2,39.2,64.3,4440.0,,101.6,101.6,4.78,4.78,
HSS102x102x3.2,,27.95,27.95,1230.0,1.96,38.5,40.0,44.9,1.96,38.5,40.0,44.9,3080.0,,101.6,101.6,3.18,3.18,
HSS89x89x9.5,,5.33,5.33,2790.0,2.8,63.0,31.700000000000003,80.5,2.8,63.0,31.700000000000003,80.5,4880.0,,88.9,88.9,9.53,9.53,
HSS89x89x7.9,,7.2,7.2,2410.0,2.54,57.1,32.5,71.3,2.54,57.1,32.5,71.3,4330.0,,88.9,88.9,7.94,7.94,
HSS89x89x6.4,,10.0,10.0,1990.0,2.2,49.5,33.2,60.5,2.2,49.5,33.2,60.5,3670.0,,88.9,88.9,6.35,6.35,
HSS89x89x4.8,,14.6,14.6,1550.0,1.79,40.3,34.0,48.2,1.79,40.3,34.0,48.2,2920.0,,88.9,88.9,4.78,4.78,
HSS76x76x9.5,,4.0,4.0,2310.0,1.61,42.4,26.5,55.5,1.61,42.4,26.5,55.5,2870.0,,76.2,76.2,9.53,9.53,
HSS76x76x7.9,,5.6,5.6,2010.0,1.49,39.1,27.3,49.8,1.49,39.1,27.3,49.8,2590.0,,76.2,76.2,7.94,7.94,
HSS76x76x6.4,,8.0,8.0,1670.0,1.31,34.5,28.0,42.8,1.31,34.5,28.0,42.8,2230.0,,76.2,76.2,6.35,6.35,
HSS76x76x4.8,,11.94,11.94,1310.0,1.08,28.5,28.8,34.4,1.08,28.5,28.8,34.4,1790.0,,76.2,76.2,4.78,4.78,
HSS76x76x3.2,,19.96,19.96,903.0,0.79,20.7,29.6,24.5,0.79,20.7,29.6,24.5,1260.0,,76.2,76.2,3.18,3.18,
HSS64x64x6.4,,6.0,6.0,1350.0,0.703,22.2,22.8,28.1,0.703,22.2,22.8,28.1,1220.0,,63.5,63.5,6.35,6.35,
HSS64x64x4.8,,9.28,9.28,1060.0,0.594,18.7,23.6,23.0,0.594,18.7,23.6,23.0,995.0,,63.5,63.5,4.78,4.78,
HSS64x64x3.2,,15.97,15.97,741.0,0.441,13.9,24.400000000000002,16.6,0.441,13.9,24.400000000000002,16.6,715.0,,63.5,63.5,3.18,3.18,
HSS51x51x6.4,,4.0,4.0,1030.0,0.319,12.6,17.6,16.4,0.319,12.6,17.6,16.4,567.0,,50.8,50.8,6.35,6.35,
HSS51x51x4.8,,6.63,6.63,821.0,0.279,11.0,18.400000000000002,13.8,0.279,11.0,18.400000000000002,13.8,479.0,,50.8,50.8,4.78,4.78,
HSS51x51x3.2,,11.97,11.97,580.0,0.214,8.42,19.200000000000003,10.2,0.214,8.42,19.200000000000003,10.2,353.0,,50.8,50.8,3.18,3.18,
HSS38x38x4.8,,3.97,3.97,578.0,0.101,5.3,13.200000000000001,6.95,0.101,5.3,13.200000000000001,6.95,180.0,,38.1,38.1,4.78,4.78,
HSS38x38x3.2,,7.98,7.98,418.0,0.0822,4.31,14.0,5.35,0.0822,4.31,14.0,5.35,139.0,,38.1,38.1,3.18,3.18,
