Designation,Class,ba/t,h/w,Area,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,J,Cw,d,b,t,w,k
W1000x415,,3.3,35.69,52900.0,8530.0,16700.0,402.0,19600.0,217.0,1430.0,64.10000000000001,2300.0,27000.0,51500.0,1020.0,304.0,46.0,26.0,78.0
W1000x393,,3.45,38.04,50000.0,8080.0,15900.0,402.0,18500.0,205.0,1350.0,64.0,2170.0,23300.0,48400.0,1016.0,303.0,43.9,24.4,75.0
W1000x350,,3.78,43.98,44500.0,7230.0,14300.0,403.0,16600.0,185.0,1220.0,64.4,1940.0,17200.0,43200.0,1008.0,302.0,40.0,21.1,72.0
W1000x314,,4.18,48.6,40000.0,6440.0,12900.0,401.0,14900.0,162.0,1080.0,63.7,1710.0,12600.0,37700.0,1000.0,300.0,35.9,19.1,67.0
W1000x272,,4.84,56.24,34700.0,5540.0,11200.0,400.0,12800.0,140.0,933.0,63.5,1470.0,8350.0,32200.0,990.0,300.0,31.0,16.5,63.0
W1000x249,,5.77,56.24,31700.0,4810.0,9820.0,390.0,11300.0,118.0,783.0,60.900000000000006,1240.0,5820.0,26700.0,980.0,300.0,26.0,16.5,58.0
W1000x222,,7.11,57.99,28300.0,4080.0,8410.0,380.0,9800.0,95.4,636.0,58.1,1020.0,3900.0,21500.0,970.0,300.0,21.1,16.0,53.0
W920x1377,,2.05,11.25,175000.0,30300.0,55500.0,416.0,67600.0,2060.0,8720.0,108.0,14200.0,596000.0,493000.0,1093.0,473.0,115.1,76.7,147.0
W920x1269,,2.0,13.48,162000.0,29000.0,53000.0,423.0,63900.0,1900.0,8240.0,108.0,13100.0,514000.0,454000.0,1093.0,461.0,115.1,64.0,147.0
W920x1194,,2.1,14.26,152000.0,26900.0,49800.0,421.0,59800.0,1750.0,7660.0,107.0,12200.0,435000.0,413000.0,1081.0,457.0,109.0,60.5,141.0
W920x1077,,2.28,15.69,137000.0,23800.0,44800.0,416.0,53400.0,1530.0,6770.0,106.0,10700.0,326000.0,353000.0,1061.0,451.0,99.1,55.0,131.0
W920x970,,2.48,17.26,124000.0,21000.0,40300.0,412.0,47700.0,1340.0,6000.0,104.0,9490.0,243000.0,304000.0,1043.0,446.0,89.9,50.0,121.0
W920x787,,2.96,21.11,100000.0,16500.0,32600.0,405.0,38000.0,1030.0,4730.0,102.0,7420.0,134000.0,227000.0,1011.0,437.0,73.9,40.9,105.0
W920x725,,3.19,22.65,92300.0,14900.0,29900.0,402.0,34700.0,932.0,4290.0,100.0,6730.0,106000.0,202000.0,999.0,434.0,68.1,38.1,100.0
W920x656,,3.48,25.01,83500.0,13400.0,27100.0,400.0,31300.0,830.0,3850.0,99.7,6020.0,79500.0,178000.0,987.0,431.0,62.0,34.5,94.0
W920x588,,3.82,27.85,74800.0,11800.0,24200.0,397.0,27800.0,728.0,3410.0,98.60000000000001,5310.0,58100.0,154000.0,975.0,427.0,55.9,31.0,87.0
W920x537,,4.16,30.38,68200.0,10700.0,22100.0,395.0,25300.0,656.0,3080.0,98.0,4790.0,44500.0,137000.0,965.0,425.0,51.1,28.4,83.0
W920x491,,4.49,33.32,62300.0,9660.0,20200.0,394.0,23000.0,590.0,2800.0,97.30000000000001,4340.0,34400.0,122000.0,957.0,422.0,47.0,25.9,79.0
W920x449,,4.95,35.94,57100.0,8750.0,18500.0,391.0,20900.0,540.0,2550.0,97.2,3950.0,26300.0,111000.0,948.0,423.0,42.7,24.0,74.0
W920x420,,5.29,38.36,53400.0,8130.0,17300.0,390.0,19500.0,501.0,2370.0,96.80000000000001,3670.0,21500.0,102000.0,943.0,422.0,39.9,22.5,71.0
W920x390,,5.74,40.51,49400.0,7420.0,15800.0,387.0,17900.0,453.0,2160.0,95.7,3330.0,16900.0,91500.0,936.0,420.0,36.6,21.3,68.0
W920x368,,6.11,42.48,46600.0,6920.0,14900.0,386.0,16800.0,421.0,2010.0,95.10000000000001,3100.0,14100.0,84700.0,931.0,419.0,34.3,20.3,66.0
W920x344,,6.53,44.72,43700.0,6450.0,13900.0,384.0,15700.0,390.0,1870.0,94.5,2880.0,11600.0,78100.0,927.0,418.0,32.0,19.3,64.0
W920x576,,2.48,23.91,73300.0,11000.0,22200.0,388.0,26300.0,365.0,2270.0,70.60000000000001,3660.0,71300.0,78600.0,993.0,322.0,65.0,36.1,86.0
W920x521,,2.71,26.16,66400.0,9820.0,20000.0,385.0,23600.0,321.0,2010.0,69.60000000000001,3240.0,53400.0,68300.0,981.0,319.0,58.9,33.0,79.0
W920x474,,2.92,28.76,60400.0,8860.0,18200.0,383.0,21400.0,287.0,1810.0,68.9,2900.0,41000.0,60200.0,971.0,316.0,54.1,30.0,75.0
W920x425,,3.19,32.08,54200.0,7880.0,16400.0,381.0,19100.0,252.0,1610.0,68.2,2560.0,30300.0,52400.0,961.0,313.0,49.0,26.9,70.0
W920x381,,3.53,35.38,48600.0,6960.0,14600.0,379.0,17000.0,219.0,1410.0,67.2,2240.0,21800.0,45100.0,951.0,310.0,43.9,24.4,75.0
W920x345,,3.86,39.06,43900.0,6250.0,13300.0,377.0,15300.0,195.0,1270.0,66.7,2000.0,16400.0,39800.0,943.0,308.0,39.9,22.1,71.0
W920x313,,4.48,40.9,39800.0,5480.0,11800.0,371.0,13600.0,170.0,1100.0,65.4,1750.0,11500.0,34300.0,932.0,309.0,34.5,21.1,66.0
W920x289,,4.81,44.48,36700.0,5040.0,10900.0,370.0,12500.0,156.0,1020.0,65.3,1600.0,9160.0,31300.0,927.0,308.0,32.0,19.4,64.0
W920x271,,5.12,46.9,34600.0,4710.0,10200.0,369.0,11800.0,145.0,946.0,64.8,1490.0,7630.0,28900.0,923.0,307.0,30.0,18.4,62.0
W920x253,,5.48,49.9,32300.0,4370.0,9510.0,368.0,10900.0,134.0,874.0,64.3,1370.0,6210.0,26500.0,919.0,306.0,27.9,17.3,59.0
W920x238,,5.89,52.32,30300.0,4060.0,8870.0,366.0,10200.0,123.0,806.0,63.7,1270.0,5100.0,24300.0,915.0,305.0,25.9,16.5,57.0
W920x223,,6.36,54.29,28500.0,3760.0,8260.0,363.0,9520.0,112.0,738.0,62.7,1160.0,4180.0,22100.0,911.0,304.0,23.9,15.9,55.0
W920x201,,7.56,56.76,25600.0,3250.0,7190.0,356.0,8340.0,94.4,621.0,60.7,982.0,2880.0,18400.0,903.0,304.0,20.1,15.2,52.0
W840x576,,3.55,24.91,73400.0,10100.0,22200.0,371.0,25600.0,672.0,3270.0,95.7,5100.0,61700.0,123000.0,913.0,411.0,57.9,32.0,89.0
W840x527,,3.85,27.01,67300.0,9150.0,20300.0,369.0,23300.0,607.0,2970.0,95.0,4620.0,47800.0,110000.0,903.0,409.0,53.1,29.5,85.0
W840x473,,4.23,30.19,60400.0,8130.0,18200.0,367.0,20800.0,537.0,2640.0,94.30000000000001,4100.0,35100.0,95800.0,893.0,406.0,48.0,26.4,80.0
W840x433,,4.6,32.67,55300.0,7360.0,16600.0,365.0,18900.0,484.0,2390.0,93.5,3710.0,27000.0,85500.0,885.0,404.0,43.9,24.4,75.0
W840x392,,5.03,36.07,50000.0,6600.0,15000.0,363.0,17000.0,430.0,2140.0,92.7,3310.0,20300.0,75300.0,877.0,401.0,39.9,22.1,71.0
W840x359,,5.66,37.76,45800.0,5920.0,13600.0,359.0,15400.0,389.0,1930.0,92.10000000000001,2980.0,15100.0,67400.0,868.0,403.0,35.6,21.1,67.0
W840x329,,6.19,40.47,42000.0,5360.0,12400.0,357.0,14000.0,349.0,1740.0,91.10000000000001,2690.0,11600.0,60000.0,862.0,401.0,32.4,19.7,64.0
W840x299,,6.85,43.77,38200.0,4800.0,11200.0,355.0,12700.0,312.0,1560.0,90.4,2410.0,8660.0,53200.0,855.0,400.0,29.2,18.2,61.0
W840x251,,4.71,46.88,31900.0,3860.0,9000.0,348.0,10300.0,129.0,884.0,63.6,1380.0,7350.0,22100.0,859.0,292.0,31.0,17.0,63.0
W840x226,,5.49,49.53,28900.0,3400.0,7990.0,343.0,9160.0,114.0,774.0,62.800000000000004,1210.0,5140.0,19300.0,851.0,294.0,26.8,16.1,58.0
W840x210,,6.0,51.77,26800.0,3110.0,7340.0,340.0,8430.0,103.0,700.0,61.800000000000004,1100.0,4050.0,17300.0,846.0,293.0,24.4,15.4,56.0
W840x193,,6.73,54.19,24700.0,2780.0,6630.0,336.0,7620.0,90.3,618.0,60.5,971.0,3050.0,15100.0,840.0,292.0,21.7,14.7,53.0
W840x176,,7.77,56.96,22400.0,2460.0,5900.0,331.0,6810.0,78.2,536.0,59.1,844.0,2220.0,13000.0,835.0,292.0,18.8,14.0,50.0
W760x582,,3.19,20.84,74300.0,8620.0,20400.0,341.0,23800.0,644.0,3250.0,93.2,5080.0,72200.0,98300.0,843.0,396.0,62.0,34.5,94.0
W760x531,,3.45,22.83,67700.0,7770.0,18600.0,339.0,21600.0,578.0,2940.0,92.4,4580.0,55600.0,87000.0,833.0,393.0,56.9,31.5,88.0
W760x484,,3.74,24.79,61800.0,6990.0,17000.0,336.0,19500.0,517.0,2650.0,91.4,4120.0,42800.0,76800.0,823.0,390.0,52.1,29.0,84.0
W760x434,,4.12,27.76,55300.0,6190.0,15200.0,334.0,17400.0,455.0,2350.0,90.7,3650.0,31300.0,66800.0,813.0,387.0,47.0,25.9,79.0
W760x389,,4.59,30.47,49600.0,5450.0,13600.0,332.0,15500.0,399.0,2070.0,89.80000000000001,3210.0,22500.0,57800.0,803.0,385.0,41.9,23.6,73.0
W760x350,,5.01,34.07,44600.0,4870.0,12200.0,330.0,13900.0,355.0,1860.0,89.10000000000001,2870.0,16800.0,50800.0,795.0,382.0,38.1,21.1,70.0
W760x314,,5.75,36.51,40200.0,4290.0,10900.0,327.0,12300.0,316.0,1640.0,88.7,2540.0,11800.0,44700.0,786.0,384.0,33.4,19.7,65.0
W760x284,,6.35,39.93,36300.0,3830.0,9820.0,325.0,11100.0,280.0,1470.0,87.9,2260.0,8750.0,39300.0,779.0,382.0,30.1,18.0,62.0
W760x257,,7.03,43.3,32900.0,3430.0,8880.0,323.0,9970.0,250.0,1310.0,87.2,2020.0,6510.0,34800.0,773.0,381.0,27.1,16.6,59.0
W760x220,,4.43,43.58,28100.0,2780.0,7140.0,315.0,8190.0,94.4,710.0,58.0,1110.0,6050.0,13200.0,779.0,266.0,30.0,16.5,62.0
W760x196,,5.28,46.1,25100.0,2400.0,6240.0,309.0,7170.0,81.7,610.0,57.1,959.0,4040.0,11300.0,770.0,268.0,25.4,15.6,57.0
W760x185,,5.66,48.24,23500.0,2230.0,5820.0,308.0,6690.0,75.1,563.0,56.5,884.0,3330.0,10300.0,766.0,267.0,23.6,14.9,55.0
W760x173,,6.18,49.92,22100.0,2060.0,5400.0,305.0,6210.0,68.7,515.0,55.7,810.0,2690.0,9420.0,762.0,267.0,21.6,14.4,53.0
W760x161,,6.89,52.13,20400.0,1860.0,4900.0,302.0,5660.0,60.7,457.0,54.5,720.0,2070.0,8280.0,758.0,266.0,19.3,13.8,51.0
W760x147,,7.79,54.47,18700.0,1660.0,4410.0,298.0,5100.0,52.9,399.0,53.1,631.0,1560.0,7160.0,753.0,265.0,17.0,13.2,49.0
W760x134,,8.52,60.42,17000.0,1500.0,4010.0,297.0,4630.0,47.7,361.0,53.0,568.0,1180.0,6430.0,750.0,264.0,15.5,11.9,47.0
W690x802,,2.15,12.92,102000.0,10600.0,25700.0,322.0,30900.0,875.0,4520.0,92.60000000000001,7140.0,203000.0,119000.0,826.0,387.0,89.9,50.0,121.0
W690x548,,2.95,18.4,69700.0,6710.0,17400.0,310.0,20300.0,543.0,2920.0,88.2,4560.0,69600.0,68200.0,772.0,372.0,63.0,35.1,95.0
W690x500,,3.19,20.19,63600.0,6050.0,15900.0,308.0,18400.0,487.0,2640.0,87.5,4110.0,53700.0,60300.0,762.0,369.0,57.9,32.0,89.0
W690x457,,3.46,21.89,58200.0,5450.0,14500.0,306.0,16800.0,439.0,2390.0,86.80000000000001,3720.0,41600.0,53600.0,752.0,367.0,53.1,29.5,85.0
W690x419,,3.71,24.01,53200.0,4940.0,13300.0,305.0,15300.0,395.0,2170.0,86.10000000000001,3370.0,32400.0,47700.0,744.0,364.0,49.0,26.9,81.0
W690x384,,4.02,25.94,48900.0,4470.0,12200.0,303.0,13900.0,357.0,1970.0,85.4,3050.0,25200.0,42600.0,736.0,362.0,45.0,24.9,77.0
W690x350,,4.4,27.97,44600.0,4020.0,11000.0,300.0,12600.0,319.0,1770.0,84.60000000000001,2740.0,19100.0,37600.0,728.0,360.0,40.9,23.1,72.0
W690x323,,4.71,30.61,41200.0,3700.0,10200.0,300.0,11600.0,294.0,1640.0,84.5,2530.0,15300.0,34400.0,722.0,359.0,38.1,21.1,70.0
W690x289,,5.24,34.0,36700.0,3250.0,9100.0,298.0,10300.0,256.0,1440.0,83.60000000000001,2220.0,10900.0,29600.0,714.0,356.0,34.0,19.0,66.0
W690x265,,5.93,35.09,33700.0,2900.0,8220.0,294.0,9290.0,231.0,1290.0,82.9,1990.0,8110.0,26400.0,706.0,358.0,30.2,18.4,62.0
W690x240,,6.5,38.46,30600.0,2610.0,7450.0,292.0,8390.0,206.0,1160.0,82.2,1780.0,6080.0,23400.0,701.0,356.0,27.4,16.8,59.0
W690x217,,7.16,41.91,27700.0,2340.0,6740.0,291.0,7570.0,185.0,1040.0,81.7,1600.0,4560.0,20800.0,695.0,355.0,24.8,15.4,56.0
W690x192,,4.55,41.69,24400.0,1980.0,5640.0,285.0,6460.0,76.4,602.0,56.0,941.0,4610.0,8680.0,702.0,254.0,27.9,15.5,59.0
W690x170,,5.42,44.54,21600.0,1700.0,4900.0,280.0,5620.0,66.2,517.0,55.300000000000004,809.0,3040.0,7410.0,693.0,256.0,23.6,14.5,55.0
W690x152,,6.02,49.3,19400.0,1510.0,4380.0,279.0,5000.0,57.8,455.0,54.6,710.0,2200.0,6420.0,688.0,254.0,21.1,13.1,53.0
W690x140,,6.72,52.11,17800.0,1360.0,3980.0,276.0,4550.0,51.7,407.0,53.900000000000006,636.0,1670.0,5720.0,684.0,254.0,18.9,12.4,50.0
W690x125,,7.76,55.16,16000.0,1180.0,3500.0,272.0,4010.0,44.1,349.0,52.5,546.0,1170.0,4830.0,678.0,253.0,16.3,11.7,48.0
W610x551,,2.51,14.84,70200.0,5570.0,15700.0,282.0,18600.0,484.0,2790.0,83.0,4380.0,83800.0,49900.0,711.0,347.0,69.1,38.6,101.0
W610x498,,2.72,16.32,63500.0,4950.0,14200.0,279.0,16700.0,426.0,2480.0,81.9,3890.0,63200.0,43100.0,699.0,343.0,63.0,35.1,95.0
W610x455,,2.94,17.91,57900.0,4440.0,12900.0,277.0,15100.0,381.0,2240.0,81.10000000000001,3500.0,48800.0,37900.0,689.0,340.0,57.9,32.0,89.0
W610x415,,3.18,19.42,52900.0,4000.0,11800.0,275.0,13700.0,343.0,2030.0,80.5,3160.0,37700.0,33600.0,679.0,338.0,53.1,29.5,85.0
W610x372,,3.49,21.7,47400.0,3530.0,10600.0,273.0,12200.0,302.0,1800.0,79.80000000000001,2800.0,27700.0,29100.0,669.0,335.0,48.0,26.4,80.0
W610x341,,3.79,23.49,43400.0,3180.0,9630.0,271.0,11100.0,271.0,1630.0,79.0,2520.0,21300.0,25800.0,661.0,333.0,43.9,24.4,75.0
W610x307,,4.14,25.94,39100.0,2840.0,8690.0,269.0,9930.0,240.0,1450.0,78.2,2240.0,15900.0,22500.0,653.0,330.0,39.9,22.1,71.0
W610x285,,4.43,27.81,36300.0,2610.0,8060.0,268.0,9170.0,221.0,1340.0,77.9,2070.0,12800.0,20500.0,647.0,329.0,37.1,20.6,69.0
W610x262,,4.81,30.16,33300.0,2360.0,7360.0,266.0,8350.0,198.0,1210.0,77.2,1870.0,9900.0,18300.0,641.0,327.0,34.0,19.0,66.0
W610x241,,5.31,32.01,30800.0,2150.0,6780.0,264.0,7670.0,184.0,1120.0,77.4,1730.0,7700.0,16800.0,635.0,329.0,31.0,17.9,63.0
W610x217,,5.92,34.7,27800.0,1910.0,6070.0,262.0,6850.0,163.0,995.0,76.7,1530.0,5600.0,14700.0,628.0,328.0,27.7,16.5,59.0
W610x195,,6.7,37.22,24900.0,1680.0,5400.0,260.0,6070.0,142.0,871.0,75.60000000000001,1340.0,3970.0,12700.0,622.0,327.0,24.4,15.4,56.0
W610x174,,7.52,40.91,22200.0,1470.0,4780.0,257.0,5360.0,124.0,761.0,74.7,1170.0,2800.0,10900.0,616.0,325.0,21.6,14.0,53.0
W610x155,,8.53,45.12,19700.0,1290.0,4220.0,256.0,4730.0,108.0,666.0,73.9,1020.0,1950.0,9450.0,611.0,324.0,19.0,12.7,51.0
W610x153,,4.6,40.94,19600.0,1250.0,4020.0,253.0,4600.0,50.0,437.0,50.5,682.0,2950.0,4470.0,623.0,229.0,24.9,14.0,56.0
W610x140,,5.18,43.71,17900.0,1120.0,3630.0,250.0,4150.0,45.1,392.0,50.300000000000004,613.0,2180.0,3990.0,617.0,230.0,22.2,13.1,54.0
W610x125,,5.84,48.13,15900.0,985.0,3220.0,249.0,3670.0,39.3,343.0,49.7,535.0,1540.0,3450.0,612.0,229.0,19.6,11.9,51.0
W610x113,,6.59,51.2,14400.0,875.0,2880.0,246.0,3290.0,34.3,300.0,48.7,469.0,1120.0,2990.0,608.0,228.0,17.3,11.2,49.0
W610x101,,7.65,54.59,13000.0,764.0,2530.0,243.0,2900.0,29.5,259.0,47.7,404.0,781.0,2550.0,603.0,228.0,14.9,10.5,46.0
W610x92,,5.97,52.57,11800.0,646.0,2140.0,234.0,2510.0,14.4,161.0,35.0,258.0,710.0,1250.0,603.0,179.0,15.0,10.9,38.0
W610x82,,6.95,57.34,10400.0,560.0,1870.0,232.0,2200.0,12.1,136.0,34.0,218.0,488.0,1040.0,599.0,178.0,12.8,10.0,35.0
W530x409,,2.94,16.19,52100.0,3170.0,10300.0,247.0,12100.0,325.0,1990.0,79.10000000000001,3100.0,41300.0,25300.0,613.0,327.0,55.6,31.0,87.0
W530x369,,3.21,17.99,46900.0,2810.0,9310.0,245.0,10800.0,287.0,1770.0,78.30000000000001,2750.0,30800.0,21900.0,603.0,324.0,50.5,27.9,82.0
W530x332,,3.54,19.76,42200.0,2480.0,8350.0,242.0,9660.0,254.0,1580.0,77.60000000000001,2440.0,22600.0,19000.0,593.0,322.0,45.5,25.4,77.0
W530x300,,3.85,21.74,38200.0,2210.0,7550.0,241.0,8670.0,225.0,1410.0,76.7,2180.0,17000.0,16600.0,585.0,319.0,41.4,23.1,73.0
W530x272,,4.22,23.78,34600.0,1970.0,6820.0,239.0,7790.0,200.0,1260.0,76.10000000000001,1950.0,12800.0,14600.0,577.0,317.0,37.6,21.1,69.0
W530x248,,4.57,26.42,31400.0,1770.0,6220.0,238.0,7060.0,180.0,1140.0,75.7,1760.0,9770.0,13000.0,571.0,315.0,34.5,19.0,66.0
W530x219,,5.45,27.41,27900.0,1510.0,5390.0,233.0,6110.0,157.0,986.0,75.0,1520.0,6420.0,11000.0,560.0,318.0,29.2,18.3,61.0
W530x196,,6.01,30.39,25000.0,1340.0,4840.0,231.0,5460.0,139.0,877.0,74.4,1350.0,4700.0,9640.0,554.0,316.0,26.3,16.5,58.0
W530x182,,6.45,33.04,23100.0,1240.0,4480.0,231.0,5040.0,127.0,808.0,74.2,1240.0,3740.0,8820.0,551.0,315.0,24.4,15.2,56.0
W530x165,,7.05,35.83,21100.0,1110.0,4060.0,230.0,4550.0,114.0,726.0,73.4,1110.0,2830.0,7790.0,546.0,313.0,22.2,14.0,54.0
W530x150,,7.68,39.56,19200.0,1010.0,3710.0,229.0,4150.0,103.0,659.0,73.2,1010.0,2160.0,7030.0,543.0,312.0,20.3,12.7,52.0
W530x138,,4.53,34.14,17600.0,861.0,3140.0,221.0,3610.0,38.7,362.0,46.900000000000006,569.0,2500.0,2670.0,549.0,214.0,23.6,14.7,44.0
W530x123,,5.0,38.29,15700.0,761.0,2800.0,220.0,3210.0,33.8,319.0,46.400000000000006,499.0,1800.0,2310.0,544.0,212.0,21.2,13.1,42.0
W530x109,,5.61,43.22,13900.0,667.0,2480.0,219.0,2830.0,29.5,280.0,46.1,437.0,1260.0,2000.0,539.0,211.0,18.8,11.6,39.0
W530x101,,6.03,46.07,12900.0,617.0,2300.0,219.0,2620.0,26.9,256.0,45.6,400.0,1020.0,1820.0,537.0,210.0,17.4,10.9,38.0
W530x92,,6.7,49.2,11800.0,552.0,2070.0,217.0,2360.0,23.8,228.0,44.900000000000006,355.0,762.0,1590.0,533.0,209.0,15.6,10.2,36.0
W530x82,,7.86,52.78,10500.0,477.0,1810.0,213.0,2060.0,20.3,194.0,44.0,303.0,518.0,1340.0,528.0,209.0,13.3,9.5,34.0
W530x72,,9.5,55.8,9170.0,401.0,1530.0,209.0,1760.0,16.2,156.0,42.0,245.0,338.0,1060.0,524.0,207.0,10.9,9.0,31.0
W530x85,,5.03,48.74,10800.0,485.0,1810.0,212.0,2100.0,12.6,152.0,34.2,242.0,737.0,849.0,535.0,166.0,16.5,10.3,37.0
W530x74,,6.1,51.73,9520.0,411.0,1550.0,208.0,1810.0,10.4,125.0,33.1,200.0,480.0,692.0,529.0,166.0,13.6,9.7,34.0
W530x66,,7.24,56.43,8370.0,351.0,1340.0,205.0,1560.0,8.57,104.0,32.0,166.0,320.0,565.0,525.0,165.0,11.4,8.9,32.0
W460x464,,2.19,11.08,59100.0,2900.0,10200.0,222.0,12400.0,331.0,2170.0,74.9,3400.0,73100.0,20500.0,567.0,305.0,69.6,38.6,91.0
W460x421,,2.38,12.02,53700.0,2570.0,9250.0,219.0,11100.0,293.0,1940.0,73.9,3030.0,55700.0,17700.0,555.0,302.0,63.5,35.6,85.0
W460x384,,2.56,13.18,48900.0,2290.0,8420.0,217.0,10000.0,261.0,1750.0,73.10000000000001,2730.0,42700.0,15500.0,545.0,299.0,58.4,32.5,80.0
W460x349,,2.76,14.5,44400.0,2040.0,7640.0,214.0,9010.0,233.0,1570.0,72.3,2440.0,32800.0,13500.0,535.0,296.0,53.6,29.5,75.0
W460x315,,3.02,15.91,40000.0,1800.0,6850.0,212.0,8020.0,204.0,1390.0,71.4,2160.0,24300.0,11600.0,525.0,293.0,48.5,26.9,70.0
W460x286,,3.28,17.55,36400.0,1610.0,6230.0,210.0,7240.0,183.0,1260.0,70.9,1940.0,18600.0,10200.0,517.0,291.0,44.4,24.4,66.0
W460x260,,3.58,18.95,33100.0,1440.0,5650.0,208.0,6530.0,163.0,1130.0,70.10000000000001,1740.0,14100.0,8950.0,509.0,289.0,40.4,22.6,62.0
W460x235,,3.92,20.77,29900.0,1270.0,5080.0,206.0,5840.0,145.0,1010.0,69.5,1550.0,10500.0,7790.0,501.0,287.0,36.6,20.6,58.0
W460x213,,4.25,23.14,27100.0,1140.0,4620.0,205.0,5270.0,129.0,909.0,69.10000000000001,1400.0,7970.0,6890.0,495.0,285.0,33.5,18.5,55.0
W460x193,,4.64,25.18,24600.0,1020.0,4190.0,204.0,4750.0,115.0,816.0,68.5,1250.0,6030.0,6060.0,489.0,283.0,30.5,17.0,52.0
W460x177,,5.32,25.8,22600.0,910.0,3780.0,201.0,4280.0,105.0,735.0,68.2,1130.0,4400.0,5440.0,482.0,286.0,26.9,16.6,49.0
W460x158,,5.94,28.55,20100.0,796.0,3350.0,199.0,3770.0,91.4,643.0,67.4,989.0,3110.0,4670.0,476.0,284.0,23.9,15.0,46.0
