Designation,Class,ba/t,h/w,Area,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,J,Cw,d,b,t,w,k
HSS127x102x13,,4.0,6.0,4750.0,9.14,144.0,43.900000000000006,188.0,6.39,126.0,36.7,160.0,13200.0,,127.0,101.6,12.7,12.7,
HSS127x102x9.5,,6.66,9.33,3760.0,7.8,123.0,45.6,155.0,5.48,108.0,38.2,132.0,10900.0,,127.0,101.6,9.53,9.53,
HSS127x102x7.9,,8.8,11.99,3220.0,6.92,109.0,46.400000000000006,135.0,4.87,95.9,38.900000000000006,116.0,9540.0,,127.0,101.6,7.94,7.94,
HSS127x102x6.4,,12.0,16.0,2640.0,5.88,92.6,47.2,113.0,4.15,81.7,39.7,96.8,7970.0,,127.0,101.6,6.35,6.35,
HSS127x102x4.8,,17.26,22.57,2040.0,4.69,73.8,48.0,88.6,3.32,65.4,40.400000000000006,76.1,6240.0,,127.0,101.6,4.78,4.78,
HSS127x102x3.2,,27.95,35.94,1390.0,3.3,52.0,48.800000000000004,61.5,2.35,46.2,41.1,52.9,4320.0,,127.0,101.6,3.18,3.18,
HSS127x76x13,,2.0,6.0,4100.0,7.02,111.0,41.400000000000006,151.0,3.05,80.0,27.3,104.0,7590.0,,127.0,76.2,12.7,12.7,
HSS127x76x9.5,,4.0,9.33,3280.0,6.13,96.5,43.300000000000004,126.0,2.7,70.8,28.700000000000003,87.8,6500.0,,127.0,76.2,9.53,9.53,
HSS127x76x7.9,,5.6,11.99,2810.0,5.49,86.4,44.2,111.0,2.43,63.9,29.400000000000002,77.3,5750.0,,127.0,76.2,7.94,7.94,
HSS127x76x6.4,,8.0,16.0,2320.0,4.7,74.1,45.1,93.4,2.1,55.2,30.1,65.3,4860.0,,127.0,76.2,6.35,6.35,
HSS127x76x4.8,,11.94,22.57,1790.0,3.78,59.6,45.900000000000006,73.8,1.71,44.8,30.8,51.8,3850.0,,127.0,76.2,4.78,4.78,
HSS127x76x3.2,,19.96,35.94,1230.0,2.69,42.3,46.800000000000004,51.5,1.22,32.1,31.6,36.3,2690.0,,127.0,76.2,3.18,3.18,
HSS102x76x9.5,,4.0,6.66,2790.0,3.42,67.4,35.0,87.9,2.16,56.6,27.8,71.6,4630.0,,101.6,76.2,9.53,9.53,
HSS102x76x7.9,,5.6,8.8,2410.0,3.1,61.0,35.9,77.8,1.96,51.5,28.5,63.6,4120.0,,101.6,76.2,7.94,7.94,
HSS102x76x6.4,,8.0,12.0,1990.0,2.69,52.9,36.7,66.0,1.71,44.8,29.3,54.0,3500.0,,101.6,76.2,6.35,6.35,
HSS102x76x4.8,,11.94,17.26,1550.0,2.18,43.0,37.5,52.6,1.39,36.6,30.0,43.1,2780.0,,101.6,76.2,4.78,4.78,
HSS102x76x3.2,,19.96,27.95,1060.0,1.57,30.8,38.400000000000006,37.0,1.01,26.4,30.700000000000003,30.4,1950.0,,101.6,76.2,3.18,3.18,
HSS102x51x9.5,,1.33,6.66,2310.0,2.39,47.1,32.2,65.6,0.762,30.0,18.2,39.2,2070.0,,101.6,50.8,9.53,9.53,
HSS102x51x7.9,,2.4,8.8,2010.0,2.21,43.6,33.2,58.9,0.714,28.1,18.900000000000002,35.5,1910.0,,101.6,50.8,7.94,7.94,
HSS102x51x6.4,,4.0,12.0,1670.0,1.95,38.5,34.2,50.7,0.64,25.2,19.6,30.8,1670.0,,101.6,50.8,6.35,6.35,
HSS102x51x4.8,,6.63,17.26,1310.0,1.61,31.8,35.1,40.8,0.537,21.1,20.3,25.0,1360.0,,101.6,50.8,4.78,4.78,
HSS102x51x3.2,,11.97,27.95,903.0,1.17,23.1,36.1,29.0,0.397,15.6,21.0,17.9,976.0,,101.6,50.8,3.18,3.18,
HSS89x64x6.4,,6.0,10.0,1670.0,1.65,37.1,31.400000000000002,47.2,0.968,30.5,24.1,37.3,2080.0,,88.9,63.5,6.35,6.35,
HSS89x64x4.8,,9.28,14.6,1310.0,1.36,30.6,32.300000000000004,38.0,0.803,25.3,24.8,30.1,1680.0,,88.9,63.5,4.78,4.78,
HSS76x51x7.9,,2.4,5.6,1600.0,1.02,26.7,25.200000000000003,36.0,0.527,20.7,18.1,26.9,1240.0,,76.2,50.8,7.94,7.94,
HSS76x51x6.4,,4.0,8.0,1350.0,0.919,24.1,26.1,31.5,0.479,18.9,18.900000000000002,23.6,1100.0,,76.2,50.8,6.35,6.35,
HSS76x51x4.8,,6.63,11.94,1060.0,0.775,20.3,27.0,25.8,0.408,16.1,19.6,19.4,903.0,,76.2,50.8,4.78,4.78,
HSS76x51x3.2,,11.97,19.96,741.0,0.575,15.1,27.8,18.6,0.306,12.0,20.3,14.0,652.0,,76.2,50.8,3.18,3.18,
HSS76x38x6.4,,2.0,8.0,1190.0,0.722,18.9,24.700000000000003,25.9,0.232,12.2,14.0,15.6,622.0,,76.2,38.1,6.35,6.35,
HSS76x38x4.8,,3.97,11.94,942.0,0.62,16.3,25.6,21.4,0.203,10.6,14.700000000000001,13.0,529.0,,76.2,38.1,4.78,4.78,
HSS76x38x3.2,,7.98,19.96,660.0,0.467,12.3,26.6,15.6,0.156,8.2,15.4,9.58,392.0,,76.2,38.1,3.18,3.18,
HSS64x38x6.4,,2.0,6.0,1030.0,0.439,13.8,20.700000000000003,18.8,0.191,10.0,13.600000000000001,13.0,474.0,,63.5,38.1,6.35,6.35,
HSS64x38x4.8,,3.97,9.28,821.0,0.384,12.1,21.6,15.8,0.169,8.87,14.3,11.0,407.0,,63.5,38.1,4.78,4.78,
HSS64x38x3.2,,7.98,15.97,580.0,0.294,9.27,22.5,11.7,0.132,6.91,15.100000000000001,8.17,304.0,,63.5,38.1,3.18,3.18,
HSS51x25x4.8,,1.31,6.63,578.0,0.15,5.89,16.1,8.21,0.0476,3.75,9.08,4.91,129.0,,50.8,25.4,4.78,4.78,
HSS51x25x3.2,,3.99,11.97,418.0,0.122,4.81,17.1,6.34,0.04,3.15,9.78,3.85,104.0,,50.8,25.4,3.18,3.18,
