Designation,Class,ba/t,h/w,Dead Load (kN/m),Area (mmý),Ix (10^6 mm?),Sx (10^3 mm?),rx (mm),Zx (10^3 mm?),Iy (10^6 mm?),Sy (10^3 mm?),ry (mm),Zy (10^3 mm?),J (10^3 mm?),Cw (10^9 mm?),Nominal Mass (kg/m),Theoretical Mass (kg/m),Depth d (mm),Flange Width b (mm),Flange Thickness t (mm),Web Thickness w (mm),Distance a (mm),Distance T (mm),Distance k (mm),Distance k? (mm),d-2t (mm),Surface Area Total (mý/m),Surface Area Minus Top Flange (mý/m),Imperial Designation
W920x449,1,4.95,35.9,4.4,57600.0,8750.0,18500.0,391.0,20900.0,540.0,2550.0,97.2,3950.0,26300.0,111.0,449.0,448.5,948.0,423.0,42.7,24.0,200.0,800.0,74.0,42.0,863.0,3.54,3.12,W36x302
W920x420,1,5.29,38.4,4.11,53500.0,8130.0,17300.0,390.0,19500.0,501.0,2370.0,96.8,3670.0,21500.0,102.0,420.0,419.2,943.0,422.0,39.9,22.5,200.0,800.0,71.0,41.0,863.0,3.53,3.11,W36x282
W920x380,1,5.74,40.5,3.81,49700.0,7420.0,15800.0,387.0,17900.0,453.0,2160.0,95.7,3330.0,16900.0,91.5,390.0,388.0,936.0,420.0,36.6,21.3,199.0,800.0,68.0,41.0,863.0,3.51,3.09,W36x262
W920x368,1,6.11,42.5,3.58,46800.0,6920.0,14900.0,386.0,16800.0,421.0,2010.0,95.1,3100.0,14100.0,84.7,368.0,365.5,931.0,419.0,34.3,20.3,199.0,799.0,66.0,40.0,862.0,3.5,3.08,W36x247
W920x344,1,6.53,44.7,3.37,43900.0,6450.0,13900.0,384.0,15700.0,390.0,1870.0,94.5,2880.0,11600.0,78.1,344.0,343.2,927.0,418.0,32.0,19.3,199.0,800.0,64.0,40.0,863.0,3.49,3.07,W36x231
W920x381,1,3.53,35.4,3.74,48600.0,6960.0,14600.0,379.0,17000.0,219.0,1410.0,67.2,2240.0,21800.0,45.1,381.0,381.1,951.0,310.0,43.9,24.4,143.0,800.0,75.0,42.0,863.0,3.09,2.78,W36x256
W920x345,1,3.86,39.1,3.38,44000.0,6250.0,13300.0,377.0,15300.0,195.0,1270.0,66.7,2000.0,16400.0,39.8,345.0,344.8,943.0,308.0,39.9,22.1,143.0,800.0,71.0,41.0,863.0,3.07,2.77,W36x232
W920x313,1,4.48,40.9,3.06,39900.0,5480.0,11800.0,371.0,13600.0,170.0,1100.0,65.4,1750.0,11500.0,34.3,313.0,312.4,932.0,309.0,34.5,21.1,144.0,800.0,66.0,41.0,863.0,3.06,2.75,W36x210
W920x289,1,4.81,44.5,2.83,36800.0,5040.0,10900.0,370.0,12500.0,156.0,1020.0,65.3,1600.0,9160.0,31.3,289.0,288.3,927.0,308.0,32.0,19.4,144.0,800.0,64.0,40.0,863.0,3.05,2.74,W36x194
W920x271,1,5.12,46.9,2.66,34600.0,4710.0,10200.0,369.0,11800.0,145.0,946.0,64.8,1490.0,7630.0,28.9,271.0,271.4,923.0,307.0,30.0,18.4,144.0,800.0,62.0,39.0,863.0,3.04,2.73,W36x182
W920x253,1,5.48,49.9,2.48,32300.0,4370.0,9510.0,368.0,10900.0,134.0,874.0,64.3,1370.0,6210.0,26.5,253.0,253.4,919.0,306.0,27.9,17.3,144.0,800.0,59.0,39.0,863.0,3.03,2.72,W36x170
W920x238,1,5.89,52.3,2.33,30300.0,4060.0,8870.0,366.0,10200.0,123.0,806.0,63.7,1270.0,5100.0,24.3,238.0,238.0,915.0,305.0,25.9,16.5,144.0,800.0,57.0,38.0,863.0,3.02,2.71,W36x160
W920x223,1,6.36,54.3,2.2,28500.0,3760.0,8260.0,363.0,9520.0,112.0,738.0,62.7,1160.0,4180.0,22.1,223.0,223.9,911.0,304.0,23.9,15.9,144.0,800.0,55.0,38.0,863.0,3.01,2.7,W36x150
W920x201,1,7.56,56.8,1.97,25600.0,3250.0,7190.0,356.0,8340.0,94.4,621.0,60.7,982.0,2880.0,18.4,201.0,201.0,903.0,304.0,20.1,15.2,144.0,800.0,52.0,38.0,863.0,2.99,2.69,W36x135
W840x576,1,3.55,24.9,5.65,73500.0,10100.0,22200.0,371.0,25600.0,672.0,3270.0,95.7,5100.0,61700.0,123.0,576.0,576.6,913.0,411.0,57.9,32.0,190.0,734.0,89.0,46.0,797.0,3.41,3.0,W33x387
W840x527,1,3.85,27.0,5.18,67200.0,9150.0,20300.0,369.0,23300.0,607.0,2970.0,95.0,4620.0,47800.0,110.0,527.0,528.2,903.0,409.0,53.1,29.5,190.0,734.0,85.0,45.0,797.0,3.38,2.97,W33x354
W840x473,1,4.23,30.2,4.55,50300.0,8130.0,18200.0,367.0,20800.0,537.0,2640.0,94.3,4100.0,35100.0,95.8,473.0,473.8,893.0,406.0,48.0,26.4,190.0,734.0,80.0,43.0,797.0,3.36,2.95,W33x318
W840x433,1,4.6,32.7,4.25,55200.0,7360.0,16600.0,365.0,18900.0,484.0,2390.0,93.5,3710.0,27000.0,85.5,433.0,433.8,885.0,404.0,43.9,24.4,190.0,734.0,75.0,42.0,797.0,3.34,2.93,W33x291
W840x392,1,5.03,36.1,3.55,49900.0,6600.0,15000.0,363.0,17000.0,430.0,2140.0,92.7,3310.0,20300.0,75.3,392.0,392.2,877.0,401.0,39.9,22.1,189.0,734.0,71.0,41.0,797.0,3.31,2.91,W33x263
W840x359,1,5.66,37.8,3.53,45700.0,5920.0,13600.0,359.0,15400.0,389.0,1930.0,92.1,2980.0,15100.0,67.4,359.0,359.9,868.0,403.0,35.6,21.1,191.0,734.0,67.0,41.0,797.0,3.31,2.9,W33x241
W840x329,1,6.19,40.5,3.24,41900.0,5360.0,12400.0,357.0,14000.0,349.0,1740.0,91.1,2690.0,11600.0,60.0,329.0,330.0,862.0,401.0,32.4,19.7,191.0,734.0,64.0,40.0,797.0,3.29,2.89,W33x221
W840x299,1,6.85,43.8,2.94,38100.0,4800.0,11200.0,355.0,12700.0,312.0,1560.0,90.4,2410.0,8660.0,53.2,299.0,299.9,855.0,400.0,29.2,18.2,191.0,734.0,61.0,39.0,797.0,3.27,2.87,W33x201
W840x251,1,4.71,46.9,2.46,31900.0,3860.0,9000.0,348.0,10300.0,129.0,884.0,63.6,1380.0,7350.0,22.1,251.0,250.6,859.0,292.0,31.0,17.0,138.0,734.0,63.0,39.0,797.0,2.85,2.56,W33x169
W840x226,1,5.49,49.5,2.22,28800.0,3400.0,7990.0,343.0,9160.0,114.0,774.0,62.8,1210.0,5140.0,19.3,226.0,226.6,851.0,294.0,26.8,16.1,139.0,734.0,58.0,38.0,797.0,2.85,2.55,W33x152
W840x210,1,6,51.8,2.07,26800.0,3110.0,7340.0,340.0,8430.0,103.0,700.0,61.8,1100.0,4050.0,17.3,210.0,210.8,846.0,293.0,24.4,15.4,139.0,734.0,56.0,38.0,797.0,2.83,2.54,W33x141
W840x193,1,6.73,54.2,1.9,24700.0,2780.0,6630.0,336.0,7620.0,90.3,618.0,60.5,971.0,3050.0,15.1,193.0,193.5,840.0,292.0,21.7,14.7,139.0,734.0,53.0,37.0,797.0,2.82,2.53,W33x130
W840x176,1,7.77,57.0,1.73,22400.0,2460.0,5900.0,331.0,6810.0,78.2,536.0,59.1,844.0,2220.0,13.0,176.0,176.0,835.0,292.0,18.8,14.0,139.0,734.0,50.0,37.0,797.0,2.81,2.52,W33x118
W760x582,1,3.19,20.8,5.72,74200.0,8620.0,20400.0,341.0,23800.0,644.0,3250.0,93.2,5080.0,72200.0,98.3,582.0,551.1,711.0,347.0,69.1,38.6,154.0,510.0,101.0,49.0,573.0,2.73,2.39,W24x370
W760x531,1,3.45,22.8,5.21,67600.0,7770.0,18600.0,339.0,21600.0,578.0,2940.0,92.4,4580.0,55600.0,87.0,498.0,498.2,699.0,343.0,63.0,35.1,154.0,510.0,95.0,48.0,573.0,2.7,2.36,W24x335
W760x484,1,3.74,24.8,4.76,61700.0,6990.0,17000.0,336.0,19500.0,517.0,2650.0,91.4,4120.0,42800.0,76.8,455.0,454.1,689.0,340.0,57.9,32.0,154.0,510.0,89.0,46.0,573.0,2.67,2.33,W24x306
W760x389,1,4.12,27.8,4.26,55300.0,6190.0,15200.0,334.0,17400.0,455.0,2350.0,90.7,3650.0,31300.0,66.8,415.0,415.5,679.0,338.0,53.1,29.5,154.0,510.0,85.0,45.0,573.0,2.65,2.31,W24x279
W760x350,1,4.59,30.5,3.82,49500.0,5450.0,13600.0,332.0,15500.0,399.0,2070.0,89.8,3210.0,22500.0,57.8,372.0,372.3,669.0,335.0,48.0,26.4,154.0,510.0,80.0,43.0,573.0,2.63,2.29,W24x250
W760x314,1,5.01,34.1,3.43,44500.0,4870.0,12200.0,330.0,13900.0,355.0,1860.0,89.1,2870.0,16800.0,50.8,341.0,340.4,661.0,333.0,43.9,24.4,154.0,510.0,75.0,42.0,573.0,2.61,2.27,W24x229
W760x284,1,5.75,36.5,3.09,40000.0,4290.0,10900.0,327.0,12300.0,316.0,1640.0,88.7,2540.0,11800.0,44.7,307.0,307.3,653.0,330.0,39.9,22.1,154.0,510.0,71.0,41.0,573.0,2.58,2.25,W24x207
W760x257,1,6.35,39.9,2.79,36200.0,3830.0,9820.0,325.0,11100.0,280.0,1470.0,87.9,2260.0,8750.0,39.3,285.0,285.3,647.0,329.0,37.1,20.6,154.0,510.0,69.0,40.0,573.0,2.57,2.24,W24x192
W760x257,1,7.03,43.3,2.53,32800.0,3430.0,8880.0,323.0,9970.0,250.0,1310.0,87.2,2020.0,6510.0,34.8,262.0,261.1,641.0,327.0,34.0,19.0,154.0,510.0,66.0,40.0,573.0,2.55,2.23,W24x176
W760x220,1,4.43,43.6,2.16,28100.0,2780.0,7140.0,315.0,8190.0,94.4,710.0,58.0,1110.0,6050.0,13.2,241.0,241.7,635.0,329.0,31.0,17.9,156.0,510.0,63.0,39.0,573.0,2.55,2.22,W24x162
