Designation,Class,ba/t,h/w,Dead Load (kN/m),Area (mmý),Ix (10^6 mm?),Sx (10^3 mm?),rx (mm),Zx (10^3 mm?),Iy (10^6 mm?),Sy (10^3 mm?),ry (mm),Zy (10^3 mm?),J (10^3 mm?),Cw (10^9 mm?),Nominal Mass (kg/m),Theoretical Mass (kg/m),Depth d (mm),Flange Width b (mm),Flange Thickness t (mm),Web Thickness w (mm),Distance a (mm),Distance T (mm),Distance k (mm),Distance k? (mm),d-2t (mm),Surface Area Total (mý/m),Surface Area Minus Top Flange (mý/m),Imperial Designation
W920x380,1,5.74,40.5,3.81,49700,7420,15800,387,17900,453,2160,95.7,3330,16900,91.5,390,388,936,420,36.6,21.3,199,800,68,41,863,3.51,3.09,W36x262
W920x368,1,6.11,42.5,3.58,46800,6920,14900,386,16800,421,2010,95.1,3100,14100,84.7,368,365.5,931,419,34.3,20.3,199,799,66,40,862,3.5,3.08,W36x247
W920x344,1,6.53,44.7,3.37,43900,6450,13900,384,15700,390,1870,94.5,2880,11600,78.1,344,343.2,927,418,32,19.3,199,800,64,40,863,3.49,3.07,W36x231
W920x381,1,3.53,35.4,3.74,48600,6960,14600,379,17000,219,1410,67.2,2240,21800,45.1,381,381.1,951,310,43.9,24.4,143,800,75,42,863,3.09,2.78,W36x256
W920x345,1,3.86,39.1,3.38,44000,6250,13300,377,15300,195,1270,66.7,2000,16400,39.8,345,344.8,943,308,39.9,22.1,143,800,71,41,863,3.07,2.77,W36x232
W920x313,1,4.48,40.9,3.06,39900,5480,11800,371,13600,170,1100,65.4,1750,11500,34.3,313,312.4,932,309,34.5,21.1,144,800,66,41,863,3.06,2.75,W36x210
W920x289,1,4.81,44.5,2.83,36800,5040,10900,370,12500,156,1020,65.3,1600,9160,31.3,289,288.3,927,308,32,19.4,144,800,64,40,863,3.05,2.74,W36x194
W920x271,1,5.12,46.9,2.66,34600,4710,10200,369,11800,145,946,64.8,1490,7630,28.9,271,271.4,923,307,30,18.4,144,800,62,39,863,3.04,2.73,W36x182
W920x253,1,5.48,49.9,2.48,32300,4370,9510,368,10900,134,874,64.3,1370,6210,26.5,253,253.4,919,306,27.9,17.3,144,800,59,39,863,3.03,2.72,W36x170
W920x238,1,5.89,52.3,2.33,30300,4060,8870,366,10200,123,806,63.7,1270,5100,24.3,238,238,915,305,25.9,16.5,144,800,57,38,863,3.02,2.71,W36x160
W920x223,1,6.36,54.3,2.2,28500,3760,8260,363,9520,112,738,62.7,1160,4180,22.1,223,223.9,911,304,23.9,15.9,144,800,55,38,863,3.01,2.7,W36x150
W920x201,1,7.56,56.8,1.97,25600,3250,7190,356,8340,94.4,621,60.7,982,2880,18.4,201,201,903,304,20.1,15.2,144,800,52,38,863,2.99,2.69,W36x135
W840x576,1,3.55,24.9,5.65,73500,10100,22200,371,25600,672,3270,95.7,5100,61700,123,576,576.6,913,411,57.9,32,190,734,89,46,797,3.41,3,W33x387
W840x527,1,3.85,27,5.18,67200,9150,20300,369,23300,607,2970,95,4620,47800,110,527,528.2,903,409,53.1,29.5,190,734,85,45,797,3.38,2.97,W33x354
W840x473,1,4.23,30.2,4.55,50300,8130,18200,367,20800,537,2640,94.3,4100,35100,95.8,473,473.8,893,406,48,26.4,190,734,80,43,797,3.36,2.95,W33x318
W840x433,1,4.6,32.7,4.25,55200,7360,16600,365,18900,484,2390,93.5,3710,27000,85.5,433,433.8,885,404,43.9,24.4,190,734,75,42,797,3.34,2.93,W33x291
W840x392,1,5.03,36.1,3.55,49900,6600,15000,363,17000,430,2140,92.7,3310,20300,75.3,392,392.2,877,401,39.9,22.1,189,734,71,41,797,3.31,2.91,W33x263
W840x359,1,5.66,37.8,3.53,45700,5920,13600,359,15400,389,1930,92.1,2980,15100,67.4,359,359.9,868,403,35.6,21.1,191,734,67,41,797,3.31,2.9,W33x241
W840x329,1,6.19,40.5,3.24,41900,5360,12400,357,14000,349,1740,91.1,2690,11600,60,329,330,862,401,32.4,19.7,191,734,64,40,797,3.29,2.89,W33x221
W840x299,1,6.85,43.8,2.94,38100,4800,11200,355,12700,312,1560,90.4,2410,8660,53.2,299,299.9,855,400,29.2,18.2,191,734,61,39,797,3.27,2.87,W33x201
W840x251,1,4.71,46.9,2.46,31900,3860,9000,348,10300,129,884,63.6,1380,7350,22.1,251,250.6,859,292,31,17,138,734,63,39,797,2.85,2.56,W33x169
W840x226,1,5.49,49.5,2.22,28800,3400,7990,343,9160,114,774,62.8,1210,5140,19.3,226,226.6,851,294,26.8,16.1,139,734,58,38,797,2.85,2.55,W33x152
W840x210,1,6,51.8,2.07,26800,3110,7340,340,8430,103,700,61.8,1100,4050,17.3,210,210.8,846,293,24.4,15.4,139,734,56,38,797,2.83,2.54,W33x141
W840x193,1,6.73,54.2,1.9,24700,2780,6630,336,7620,90.3,618,60.5,971,3050,15.1,193,193.5,840,292,21.7,14.7,139,734,53,37,797,2.82,2.53,W33x130
W840x176,1,7.77,57,1.73,22400,2460,5900,331,6810,78.2,536,59.1,844,2220,13,176,176,835,292,18.8,14,139,734,50,37,797,2.81,2.52,W33x118
W760x582,1,3.19,20.8,5.72,74200,8620,20400,341,23800,644,3250,93.2,5080,72200,98.3,582,551.1,711,347,69.1,38.6,154,510,101,49,573,2.73,2.39,W24x370
W760x531,1,3.45,22.8,5.21,67600,7770,18600,339,21600,578,2940,92.4,4580,55600,87,498,498.2,699,343,63,35.1,154,510,95,48,573,2.7,2.36,W24x335
W760x484,1,3.74,24.8,4.76,61700,6990,17000,336,19500,517,2650,91.4,4120,42800,76.8,455,454.1,689,340,57.9,32,154,510,89,46,573,2.67,2.33,W24x306
W760x389,1,4.12,27.8,4.26,55300,6190,15200,334,17400,455,2350,90.7,3650,31300,66.8,415,415.5,679,338,53.1,29.5,154,510,85,45,573,2.65,2.31,W24x279
W760x350,1,4.59,30.5,3.82,49500,5450,13600,332,15500,399,2070,89.8,3210,22500,57.8,372,372.3,669,335,48,26.4,154,510,80,43,573,2.63,2.29,W24x250
W760x314,1,5.01,34.1,3.43,44500,4870,12200,330,13900,355,1860,89.1,2870,16800,50.8,341,340.4,661,333,43.9,24.4,154,510,75,42,573,2.61,2.27,W24x229
W760x284,1,5.75,36.5,3.09,40000,4290,10900,327,12300,316,1640,88.7,2540,11800,44.7,307,307.3,653,330,39.9,22.1,154,510,71,41,573,2.58,2.25,W24x207
W760x257,1,6.35,39.9,2.79,36200,3830,9820,325,11100,280,1470,87.9,2260,8750,39.3,285,285.3,647,329,37.1,20.6,154,510,69,40,573,2.57,2.24,W24x192
W760x257,1,7.03,43.3,2.53,32800,3430,8880,323,9970,250,1310,87.2,2020,6510,34.8,262,261.1,641,327,34,19,154,510,66,40,573,2.55,2.23,W24x176
W760x220,1,4.43,43.6,2.16,28100,2780,7140,315,8190,94.4,710,58,1110,6050,13.2,241,241.7,635,329,31,17.9,156,510,63,39,573,2.55,2.22,W24x162
W760x195,1,5.28,46.1,1.93,25100,2400,6240,309,7170,81.7,610,57.1,959,4040,11.3,217,217.9,628,328,27.7,16.5,156,510,59,38,573,2.54,2.21,W24x146
W760x185,1,5.66,48.2,1.81,23500,2230,5820,308,6690,75.1,563,56.5,884,3330,10.3,195,195.6,622,327,24.4,15.4,156,510,56,38,573,2.52,2.19,W24x131
W760x173,1,6.18,49.9,1.7,22100,2060,5400,305,6210,68.7,515,55.7,810,2890,9.42,174,174.3,616,325,21.6,14,156,510,53,37,573,2.5,2.18,W24x117
W760x161,1,6.89,52.1,1.57,20500,1860,4900,302,5660,60.7,457,54.5,720,2070,8.28,155,154.9,611,324,19,12.7,156,510,51,36,573,2.49,2.17,W24x104
W760x147,1,7.79,54.5,1.44,18800,1660,4410,298,5100,52.9,399,53.1,631,1560,7.16,153,153.6,623,229,24.9,14,108,510,56,37,573,2.13,1.91,W24x103
W760x134,2,8.52,60.4,1.31,17000,1500,4010,297,4630,47.7,361,53,568,1180,6.43,140,140.1,617,230,22.2,13.1,108,510,54,37,573,2.13,1.9,W24x94
W690x802,1,2.15,12.9,7.86,102200,10600,25700,322,30900,875,4520,92.6,7140,203000,119,125,125.1,612,229,19.6,11.9,109,510,51,36,573,2.12,1.89,W24x84
W690x548,1,2.95,18.4,5.38,69800,6730,17400,310,20400,543,2920,88.1,4570,70700,68.2,113,113.4,608,228,17.3,11.2,108,510,49,36,573,2.11,1.88,W24x76
