Designation,Dead Load kN/m,Area mm²,Ix 10? mm?,Sx 10³ mm³,rx mm,Zx 10³ mm³,Iy 10? mm?,Sy 10³ mm³,ry mm,Zy 10³ mm³,J 10³ mm?,Cw 10? mm?,Nominal Mass kg/m,Theoretical Mass kg/m,Depth d mm,Flange Width b mm,Flange Thickness t mm,Web Thickness w mm,a mm,T mm,k mm,k1 mm,d-2t mm,Surface Area Total m²/m,Surface Area Minus Top Flange m²/m,Imperial Designation
W530x182,1.78,23200,1240,4480,231,5040,12.7,808,74.2,1240,3740,8820,182,181.7,551,315,24.4,15.2,150,439,56,38,502,2.33,2.02,W21x122
W530x165,1.62,21100,1110,4060,230,4550,11.4,726,73.4,1110,2830,7790,165,165.3,546,313,22.2,14,150,439,54,37,502,2.32,2,W21x111
W530x150,1.48,19200,1010,3710,229,4150,10.3,659,73.2,1010,2160,7030,150,150.6,543,312,20.3,12.7,150,439,52,36,502,2.31,2,W21x101
W530x138,1.36,17600,861,3140,221,3610,3.87,362,46.9,569,2500,2670,138,138.3,549,214,23.6,14.7,100,461,44,26,502,1.92,1.71,W21x93
W530x123,1.21,15700,761,2800,220,3210,3.38,319,46.4,499,1800,2310,123,123.2,544,212,21.2,13.1,99,461,42,26,502,1.91,1.7,W21x83
W530x109,1.07,13900,667,2480,219,2830,2.95,280,46.1,437,1260,2000,109,109,539,211,18.8,11.6,100,460,39,25,501,1.9,1.69,W21x73
W530x101,0.995,12900,617,2300,219,2620,2.69,256,45.6,400,1020,1820,101,101.4,537,210,17.4,10.9,100,461,38,24,502,1.89,1.68,W21x68
W530x92,0.907,11800,552,2070,217,2360,2.38,228,44.9,355,762,1590,92,92.5,533,209,15.6,10.2,99,461,36,24,502,1.88,1.67,W21x62
W530x82,0.805,10500,477,1810,213,2060,2.03,194,44,303,518,1340,82,82.1,528,209,13.3,9.5,100,460,34,24,501,1.87,1.66,W21x55
W530x72,0.706,9180,401,1530,209,1760,1.62,156,42,245,338,1060,72,72,524,207,10.9,9,99,461,31,24,502,1.86,1.65,W21x48
W530x85,0.83,10800,48.5,1810,212,2100,1.26,152,34.2,242,737,849,85,84.7,535,166,16.5,10.3,78,461,37,24,502,1.71,1.55,W21x57
W530x74,0.733,9480,41.1,1550,208,1810,1.04,125,33.1,200,480,692,74,74.7,529,166,13.6,9.7,78,461,34,24,502,1.7,1.54,W21x50
W530x66,0.644,8390,35.1,1340,205,1560,0.857,104,32,166,320,565,66,65.7,525,165,11.4,8.9,78,461,32,23,502,1.69,1.53,W21x44
W460x464,4.55,59100,2900,10200,222,12400,33.1,2170,74.9,3400,73100,20500,464,464,567,305,69.6,38.6,133,385,91,39,428,2.28,1.97,W18x311
W460x421,4.14,53700,2570,9250,219,11100,29.3,1940,73.9,3030,55700,17700,421,421.8,555,302,63.5,35.6,133,385,85,38,428,2.25,1.94,W18x283
W460x384,3.77,49000,2290,8420,217,10000,26.1,1750,73.1,2730,42700,15500,384,384.1,545,299,58.4,32.5,133,385,80,36,428,2.22,1.92,W18x258
W460x349,3.42,44400,2040,7640,214,9010,23.3,1570,72.3,2440,32800,13500,349,348.9,535,296,53.6,29.5,133,385,75,35,428,2.2,1.9,W18x234
W460x315,3.08,40100,1800,6850,212,8020,20.4,1390,71.4,2160,24300,11600,315,314.2,525,293,48.5,26.9,133,385,70,33,428,2.17,1.88,W18x211
