province,location,elev_m,jan_2_5_C,jan_1_C,jul_2_5_dry_C,jul_2_5_wet_C,degree_days_below_18,rain_15min_mm,one_day_rain_1_50_mm,annual_rain_mm,moisture_index,ann_total_ppn_mm,driving_rain_pressure_Pa,Ss_kPa,Sr_kPa,q_1_10_kPa,q_1_50_kPa,name_ok
British Columbia,Prince George,580,-32,-36,28,18,4720,15,54,425,0.6,600,80,3.4,0.2,0.28,0.37,True
British Columbia,Prince Rupert,20,-13,-15,19,15,3900,13,160,2750,2.8,2900,240,1.9,0.4,0.43,0.54,True
British Columbia,Princeton,655,-24,-29,33,19,4250,10,43,235,0.4,350,80,2.9,0.6,0.27,0.36,True
British Columbia,Qualicum Beach,10,-7,-9,27,19,2990,10,96,1200,1.3,1250,200,2.0,0.4,0.41,0.48,True
British Columbia,Queen Charlotte City,35,-6,-8,21,16,3520,13,110,1300,1.5,1350,360,1.8,0.4,0.5,0.61,True
British Columbia,Quesnel,475,-31,-33,30,17,4650,10,50,380,0.5,525,80,3.0,0.1,0.24,0.31,True
British Columbia,Revelstoke,440,-20,-23,31,19,4000,13,55,625,0.8,950,80,7.2,0.1,0.24,0.32,True
British Columbia,Salmon Arm,425,-19,-24,33,21,3650,13,48,400,0.5,525,80,3.5,0.1,0.29,0.39,True
British Columbia,Sandspit,5,-4,-6,18,15,3450,13,86,1300,1.5,1350,500,1.8,0.4,0.59,0.72,True
British Columbia,Sechelt,25,-6,-8,27,20,2680,10,75,1140,1.3,1200,160,1.8,0.4,0.38,0.48,True
British Columbia,Sidney,10,-4,-6,26,18,2850,8,96,825,1.0,850,160,1.1,0.2,0.34,0.42,True
British Columbia,Smithers,500,-29,-31,26,17,5040,13,60,325,0.6,500,120,3.5,0.2,0.3,0.4,True
British Columbia,Smith River,660,-45,-47,26,17,7100,10,64,300,0.6,500,40,2.8,0.1,0.24,0.3,True
British Columbia,Sooke,20,-1,-3,21,16,2900,9,130,1250,1.4,1280,220,1.3,0.3,0.38,0.48,True
British Columbia,Squamish,5,-9,-11,29,20,2950,10,140,2050,2.1,2200,160,2.8,0.7,0.38,0.5,True
British Columbia,Stewart,10,-17,-20,25,16,4350,13,135,1300,1.5,1900,180,7.9,0.8,0.27,0.36,True
British Columbia,Tahsis,25,-4,-6,26,18,3150,13,200,3845,3.9,3900,300,1.1,0.4,0.26,0.34,True
British Columbia,Taylor,515,-35,-37,26,18,5720,15,72,320,0.5,450,100,2.3,0.1,0.3,0.4,True
British Columbia,Terrace,60,-19,-21,27,17,4150,13,120,950,1.1,1150,200,5.4,0.6,0.27,0.36,True
British Columbia,Tofino,10,-2,-4,20,16,3150,13,193,3275,3.4,3300,300,1.1,0.4,0.51,0.68,True
British Columbia,Trail,440,-14,-17,33,20,3600,10,54,580,0.7,700,60,4.1,0.1,0.26,0.35,True
British Columbia,Ucluelet,5,-2,-4,18,16,3120,13,180,3175,3.3,3200,280,1.0,0.4,0.51,0.68,True
British Columbia,Burnaby (Simon,330,-7,-9,25,17,3100,10,150,1850,1.9,1950,160,2.9,0.7,0.35,0.47,False
British Columbia,Cloverdale,10,-8,-10,29,20,2700,10,112,1350,1.4,1400,160,2.5,0.2,0.33,0.44,True
British Columbia,Haney,10,-9,-11,30,20,2840,10,134,1800,1.9,1950,160,2.4,0.2,0.33,0.44,True
British Columbia,Ladner,3,-6,-8,27,19,2600,10,80,1000,1.1,1050,160,1.3,0.2,0.37,0.46,True
British Columbia,Langley,15,-8,-10,29,20,2700,10,112,1450,1.5,1500,160,2.4,0.2,0.33,0.44,True
British Columbia,New Westminster,10,-8,-10,29,19,2800,10,134,1500,1.6,1575,160,2.3,0.2,0.33,0.44,True
British Columbia,North Vancouver,135,-7,-9,26,19,2910,12,150,2000,2.1,2100,160,3.0,0.3,0.34,0.45,True
British Columbia,Richmond,5,-7,-9,27,19,2800,10,86,1070,1.2,1100,160,1.5,0.2,0.36,0.45,True
British Columbia,Surrey(88Ave&156,90,-8,-10,29,20,2750,10,128,1500,1.6,1575,160,2.4,0.3,0.33,0.44,False
British Columbia,Vancouver,40,-7,-9,28,20,2825,10,112,1325,1.4,1400,160,1.8,0.2,0.34,0.45,True
British Columbia,Vancouver,120,-6,-8,28,20,2925,10,107,1325,1.4,1400,160,1.9,0.3,0.36,0.45,True
British Columbia,West Vancouver,45,-7,-9,28,19,2950,12,150,1600,1.7,1700,160,2.4,0.2,0.36,0.48,True
British Columbia,Vernon,405,-20,-23,33,20,3600,13,43,350,0.4,400,80,2.2,0.1,0.3,0.4,True
British Columbia,Victoria,10,-4,-6,24,17,2650,8,91,800,1.0,825,220,1.1,0.2,0.46,0.57,True
British Columbia,Victoria,65,-4,-6,24,17,2700,9,91,600,0.8,625,220,1.5,0.3,0.46,0.57,True
British Columbia,Victoria,125,-6,-8,24,16,2700,9,91,775,1.0,800,220,2.1,0.3,0.46,0.57,True
British Columbia,Whistler,665,-17,-20,30,20,4180,10,85,845,1.0,1215,160,9.5,0.9,0.24,0.32,True
British Columbia,White Rock,30,-5,-7,25,20,2620,10,80,1065,1.2,1100,160,2.0,0.2,0.33,0.44,True
British Columbia,Williams Lake,615,-30,-33,29,17,4400,10,48,350,0.5,425,80,2.4,0.2,0.27,0.35,True
British Columbia,Youbou,200,-5,-8,31,19,3050,10,161,2000,2.1,2100,200,3.5,0.7,0.26,0.32,True
Alberta,Athabasca,515,-35,-38,27,19,6000,18,86,370,0.6,480,80,1.5,0.1,0.27,0.36,True
Alberta,Banff,1400,-31,-33,27,16,5500,18,65,300,0.6,500,120,3.3,0.1,0.26,0.32,True
Alberta,Barrhead,645,-33,-36,27,19,5740,20,86,375,0.6,475,100,1.7,0.1,0.35,0.44,True
Alberta,Beaverlodge,730,-36,-39,28,18,5700,20,86,315,0.5,470,100,2.4,0.1,0.27,0.36,True
Alberta,Brooks,760,-32,-34,32,20,4880,18,86,260,0.3,340,220,1.2,0.1,0.35,0.44,True
Alberta,Calgary,1045,-30,-32,28,17,5000,23,103,325,0.4,425,220,1.1,0.1,0.38,0.48,True
