Designation,Class,ba/t,h/w
W360x162,2,8.51,24.1
W360x147,3,9.34,26
W360x134,3,10.3,28.6
W360x122,1,5.92,24.6
W360x110,1,6.43,28.1
W360x101,1,6.97,30.5
W360x91,1,7.74,33.7
W360x79,1,6.1,34.1
W360x72,1,6.75,37.2
W360x64,1,7.52,41.6
W360x57,1,6.56,42
W360x51,1,7.37,46.1
W360x45,2,8.72,48.2
W360x39,1,5.98,51
W360x33,1,7.47,57.2
W310x500,1,2.26,6.14
W310x454,1,2.45,6.72
W310x415,1,2.66,7.14
W310x375,1,2.88,7.81
W310x342,1,3.12,8.49
W310x313,1,3.36,9.25
W310x283,1,3.65,10.3
W310x253,1,4.03,11.3
W310x226,1,4.45,12.5
W310x202,1,4.95,13.8
W310x179,1,5.57,15.4
W310x158,1,6.18,17.9
W310x143,1,6.75,19.8
W310x129,1,7.48,21.1
W310x118,2,8.21,23.2
W310x107,2,9,25.4
W310x97,3,9.9,28
W310x86,1,7.79,30.5
W310x79,2,8.7,31.5
W310x74,1,6.29,29.5
W310x67,1,6.99,32.6
W310x60,1,7.75,36.9
W310x52,1,6.33,38.2
W310x45,1,7.41,44
W310x39,2,8.51,50.1
W310x33,1,4.72,44.2
W310x28,1,5.73,48.5
W310x24,1,7.54,52.1
W310x21,2,8.86,57.2
W250x167,1,4.17,11.7
W250x149,1,4.63,13
W250x131,1,5.2,14.6
W250x115,1,5.86,16.7
W250x101,1,6.56,18.9
W250x89,1,7.4,21.1
W250x80,2,8.17,23.9
W250x73,2,8.94,26.1
W250x67,1,6.5,25.3
W250x58,1,7.52,28.1
W250x49,3,9.18,30.4
W250x45,1,5.69,31.6
W250x39,1,6.56,36.3
W250x33,2,8.02,39.3
W250x28,1,5.1,37.5
W250x25,1,6.07,39.4
W250x22,1,7.39,41.4
W200x100,1,4.43,12.5
W200x86,1,5.07,13.9
W200x71,1,5.92,17.8
W200x59,1,7.22,20
W200x52,2,8.1,22.9
W200x46,3,9.23,25.1
W200x42,1,7.03,25.2
W200x36,2,8.09,29.1
W200x31,1,6.57,29.6
W200x27,2,7.92,32.8
W200x22,1,6.38,30.6
W200x19,2,7.85,32.8
W200x15,3,9.62,44.1
W150x37,1,6.64,17.1
W150x30,2,8.23,21
W150x22,4,11.5,23.9
W150x24,1,4.95,21.1
W150x18,1,7.18,23.9
W150x14,2,9.09,32.3
W150x13,3,10.2,32.1
W130x28,1,5.87,15.8
W130x24,1,6.98,17.8
W100x19,1,5.85,12.5
,,,
